Date,Open,High,Low,Close,Adj Close,Volume
2021-07-27,37276.03515625,42541.6796875,36441.7265625,39201.9453125,39201.9453125,212126253136
2021-08-03,39178.40234375,46456.83203125,37458.00390625,46365.40234375,46365.40234375,240041513177
2021-08-10,46280.84765625,48098.68359375,43861.4453125,46004.484375,46004.484375,228310798453
2021-08-17,45936.45703125,50482.078125,43998.31640625,49546.1484375,49546.1484375,237817899835
2021-08-24,49562.34765625,49878.76953125,46394.28125,47054.984375,47054.984375,221489905985
2021-08-31,47024.33984375,52700.94140625,46562.4375,52633.53515625,52633.53515625,263262122029
2021-09-07,52660.48046875,52853.765625,43285.20703125,44963.07421875,44963.07421875,295396904440
2021-09-14,44960.05078125,48791.78125,42598.9140625,42843.80078125,42843.80078125,229081855552
2021-09-21,43012.234375,45080.4921875,39787.609375,42235.73046875,42235.73046875,257170177850
2021-09-28,42200.8984375,49456.77734375,40829.66796875,49112.90234375,49112.90234375,225445259335
2021-10-05,49174.9609375,57793.0390625,49072.83984375,57484.7890625,57484.7890625,271173704217
2021-10-12,57526.83203125,62757.12890625,54370.97265625,62026.078125,62026.078125,272502778722
2021-10-19,62043.1640625,66930.390625,59643.34375,63039.82421875,63039.82421875,250865997603
2021-10-26,63032.76171875,63229.02734375,58206.91796875,61004.40625,61004.40625,261199718880
2021-11-02,60963.25390625,67673.7421875,60163.78125,67566.828125,67566.828125,232039643356
2021-11-09,67549.734375,68789.625,62333.9140625,63557.87109375,63557.87109375,249209431738
2021-11-16,63721.1953125,63721.1953125,55679.83984375,56289.2890625,56289.2890625,257897309244
2021-11-23,56304.5546875,59367.96875,53569.765625,57806.56640625,57806.56640625,241264719584
2021-11-30,57830.11328125,59113.40234375,42874.6171875,50582.625,50582.625,282027079457
2021-12-07,50581.828125,51934.78125,45894.84765625,46737.48046875,46737.48046875,202607917307
2021-12-14,46709.82421875,49473.95703125,45579.80859375,46880.27734375,46880.27734375,213565572555
2021-12-21,46886.078125,51956.328125,46698.7734375,50640.41796875,50640.41796875,168414943421
2021-12-28,50679.859375,50679.859375,45819.953125,46458.1171875,46458.1171875,212746131513
2022-01-04,46458.8515625,47406.546875,39796.5703125,41821.26171875,41821.26171875,275215391121
2022-01-11,41819.5078125,44278.421875,41407.75390625,42250.55078125,42250.55078125,189060476474
2022-01-18,42250.07421875,43413.0234375,33184.05859375,36654.328125,36654.328125,216491798409
2022-01-25,36654.8046875,38825.41015625,35629.28125,38483.125,38483.125,157605506764
2022-02-01,38481.765625,44401.86328125,36375.5390625,43840.28515625,43840.28515625,151884234780
2022-02-08,43854.65234375,45661.171875,41681.95703125,42586.91796875,42586.91796875,169144022817
2022-02-15,42586.46484375,44667.21875,36950.4765625,37075.28125,37075.28125,153428414338
2022-02-22,37068.76953125,43760.45703125,34459.21875,43193.234375,43193.234375,196879321390
2022-03-01,43194.50390625,45077.578125,37260.203125,38062.0390625,38062.0390625,180413505150
2022-03-08,38059.90234375,42465.671875,37680.734375,39666.75390625,39666.75390625,171743014723
2022-03-15,39664.25,42316.5546875,38310.2109375,41077.99609375,41077.99609375,184390426235
2022-03-22,41074.10546875,48086.8359375,40948.28125,47128.00390625,47128.00390625,200338522190
2022-03-29,47100.4375,48022.2890625,44403.140625,46622.67578125,46622.67578125,219471791683
2022-04-05,46624.5078125,47106.140625,39373.05859375,39521.90234375,39521.90234375,190007128587
2022-04-12,39533.71484375,41451.48046875,38696.19140625,40826.21484375,40826.21484375,174407429615
2022-04-19,40828.17578125,42893.58203125,38338.37890625,40458.30859375,40458.30859375,186055392014
2022-04-26,40448.421875,40713.890625,37585.7890625,38529.328125,38529.328125,214157919423
2022-05-03,38528.109375,39902.94921875,30296.953125,30296.953125,30296.953125,269477614817
2022-05-10,30273.654296875,32596.30859375,26350.490234375,29862.91796875,29862.91796875,327059330415
2022-05-17,29862.408203125,30694.490234375,28708.955078125,29098.91015625,29098.91015625,195299399375
2022-05-24,29101.125,31949.630859375,28261.90625,31726.390625,31726.390625,220389358213
2022-05-31,31723.865234375,32249.86328125,29375.689453125,31370.671875,31370.671875,195732930716
2022-06-07,31371.7421875,31489.68359375,22141.2578125,22487.388671875,22487.388671875,252186865545
2022-06-14,22487.986328125,23018.951171875,17708.623046875,20599.537109375,20599.537109375,272299817407
2022-06-21,20594.294921875,21783.724609375,19848.078125,20735.478515625,20735.478515625,166056293232
2022-06-28,20731.544921875,21164.423828125,18729.65625,20231.26171875,20231.26171875,158054945466
2022-07-05,20225.353515625,22314.94140625,19341.232421875,19970.556640625,19970.556640625,209509481838
2022-07-12,19970.474609375,22633.033203125,18999.953125,22485.689453125,22485.689453125,203122200756
2022-07-19,22467.849609375,24196.818359375,21361.642578125,21361.701171875,21361.701171875,239912175552
2022-07-26,21361.12109375,24572.580078125,20776.81640625,23314.19921875,23314.19921875,214034234330
2022-08-02,23308.43359375,24203.689453125,22485.701171875,23809.486328125,23809.486328125,169119521270
2022-08-09,23811.484375,25135.58984375,22771.51953125,24136.97265625,24136.97265625,201890973738
2022-08-16,24126.13671875,24407.05859375,20856.73046875,21398.908203125,21398.908203125,205307009610
2022-08-23,21401.044921875,21804.908203125,19600.78515625,20297.994140625,20297.994140625,224317397629
2022-08-30,20298.611328125,20542.64453125,19617.640625,19812.37109375,19812.37109375,204686996227
2022-09-06,19817.724609375,22439.181640625,18644.466796875,22370.44921875,22370.44921875,280927521887
2022-09-13,22371.48046875,22673.8203125,18390.318359375,19544.12890625,19544.12890625,251865101155
2022-09-20,19545.591796875,19674.630859375,18290.314453125,19222.671875,19222.671875,256845394062
2022-09-27,19221.83984375,20338.455078125,18553.296875,19623.580078125,19623.580078125,266626052695
2022-10-04,19623.583984375,20408.392578125,19102.978515625,19141.484375,19141.484375,193749506086
2022-10-11,19139.0,19889.146484375,18319.822265625,19550.7578125,19550.7578125,197987608667
2022-10-18,19550.466796875,19666.994140625,18770.970703125,19345.572265625,19345.572265625,178394132911
2022-10-25,19344.96484375,20988.39453125,19261.447265625,20495.7734375,20495.7734375,317801954775
2022-11-01,20494.8984375,21446.88671875,20086.240234375,20602.81640625,20602.81640625,329112543826
2022-11-08,20600.671875,20664.607421875,15682.6923828125,16618.19921875,16618.19921875,467528643577
2022-11-15,16617.484375,17051.962890625,15599.046875,15787.2841796875,15787.2841796875,200105169465
2022-11-22,15782.30078125,16771.474609375,15656.6064453125,16217.322265625,16217.322265625,174679930207
2022-11-29,16217.6396484375,17378.15234375,16139.396484375,16974.826171875,16974.826171875,150791744428
2022-12-06,16975.23828125,17280.546875,16750.55859375,17206.4375,17206.4375,126837207036
2022-12-13,17206.44140625,18318.53125,16398.13671875,16439.6796875,16439.6796875,139774291739
2022-12-20,16441.787109375,17012.984375,16427.8671875,16919.8046875,16919.8046875,102663853878
2022-12-27,16919.291015625,16959.845703125,16408.474609375,16688.470703125,16688.470703125,95737017931
2023-01-03,16688.84765625,17389.95703125,16622.37109375,17196.5546875,17196.5546875,96539575962
2023-01-10,17192.94921875,21360.875,17162.990234375,21169.6328125,21169.6328125,183435677367
2023-01-17,21175.833984375,23282.34765625,20541.544921875,22934.431640625,22934.431640625,188664976531
2023-01-24,22929.626953125,23919.890625,22406.076171875,22840.138671875,22840.138671875,178173822593
2023-01-31,22840.796875,24167.2109375,22692.025390625,22760.109375,22760.109375,167699654743
2023-02-07,22757.267578125,23367.958984375,21460.087890625,21808.1015625,21808.1015625,170306326253
2023-02-14,21801.822265625,25134.1171875,21632.39453125,24829.1484375,24829.1484375,214118934742
2023-02-21,24833.048828125,25126.8515625,22861.55859375,23522.87109375,23522.87109375,174146124390
2023-02-28,23521.837890625,23880.6328125,22198.98046875,22429.7578125,22429.7578125,133483215301
2023-03-07,22428.322265625,24550.837890625,19628.25390625,24197.533203125,24197.533203125,224170636139
2023-03-14,24201.765625,28527.724609375,23964.91015625,27767.236328125,27767.236328125,301140768036
2023-03-21,27768.392578125,28803.3359375,26606.689453125,27139.888671875,27139.888671875,165135223726
2023-03-28,27132.888671875,29159.90234375,26677.818359375,27790.220703125,27790.220703125,122622837067
2023-04-04,27795.2734375,29771.46484375,27681.3046875,29652.98046875,29652.98046875,97867323323
2023-04-11,29653.6796875,31005.607421875,29275.37109375,29445.044921875,29445.044921875,121588594406
2023-04-18,29449.091796875,30470.302734375,27070.849609375,27525.33984375,27525.33984375,129766429371
2023-04-25,27514.873046875,29995.837890625,27207.931640625,28091.568359375,28091.568359375,138255958653
2023-05-02,28087.17578125,29820.126953125,27310.134765625,27694.2734375,27694.2734375,115379268029
2023-05-09,27695.068359375,28322.6875,25878.4296875,27192.693359375,27192.693359375,105249824478
2023-05-16,27171.513671875,27466.52734375,26415.1015625,26851.27734375,26851.27734375,81103266415
2023-05-23,26855.9609375,28432.0390625,25890.59375,27745.884765625,27745.884765625,94177603196
2023-05-30,27745.123046875,28044.759765625,25445.16796875,25760.09765625,25760.09765625,97683641234
2023-06-06,25732.109375,27332.181640625,25434.8671875,25902.5,25902.5,106663524499
2023-06-13,25902.94140625,26984.611328125,24797.16796875,26851.029296875,26851.029296875,94054181827
2023-06-20,26841.6640625,31389.5390625,26668.791015625,30271.130859375,30271.130859375,141671824309
2023-06-27,30274.3203125,31375.61328125,29600.275390625,31156.439453125,31156.439453125,105460405389
2023-07-04,31156.865234375,31460.052734375,29777.28515625,30414.470703125,30414.470703125,90047355917
2023-07-11,30417.6328125,31814.515625,29685.783203125,30145.888671875,30145.888671875,101329869377
2023-07-18,30147.0703125,30330.640625,28934.294921875,29176.916015625,29176.916015625,83384760063
2023-07-25,29178.970703125,29675.552734375,29059.501953125,29230.111328125,29230.111328125,72570594085
2023-08-01,29230.873046875,29987.998046875,28657.0234375,29180.578125,29180.578125,89788382780
2023-08-08,29180.01953125,30176.796875,29113.814453125,29408.443359375,29408.443359375,85548546048
2023-08-15,29408.048828125,29439.12109375,25409.111328125,26124.140625,26124.140625,115776137548
2023-08-22,26130.748046875,26786.8984375,25520.728515625,26106.150390625,26106.150390625,80718054725
2023-08-29,26102.486328125,28089.337890625,25362.609375,25812.416015625,25812.416015625,112839457721
2023-09-05,25814.95703125,26414.005859375,24930.296875,25162.654296875,25162.654296875,73733982513
2023-09-12,25160.658203125,27414.734375,25133.078125,26754.28125,26754.28125,86812033048
2023-09-19,26760.8515625,27488.763671875,26011.46875,26298.48046875,26298.48046875,78634398815
2023-09-26,26294.7578125,28494.458984375,26090.712890625,27530.78515625,27530.78515625,80807448799
2023-10-03,27508.251953125,28252.537109375,27215.552734375,27583.677734375,27583.677734375,74398402944
2023-10-10,27589.201171875,29448.138671875,26558.3203125,28519.466796875,28519.466796875,88499862458
2023-10-17,28522.09765625,34370.4375,28110.185546875,33086.234375,33086.234375,123932078866
2023-10-24,33077.3046875,35150.43359375,32880.76171875,34502.36328125,34502.36328125,144540061026
2023-10-31,34500.078125,35919.84375,34083.30859375,35037.37109375,35037.37109375,111028632740
2023-11-07,35047.79296875,37926.2578125,34545.81640625,36502.35546875,36502.35546875,141131771175
2023-11-14,36491.7890625,37964.89453125,34948.5,37476.95703125,37476.95703125,145365857367
2023-11-21,37469.16015625,38415.33984375,35670.97265625,37254.16796875,37254.16796875,128554610609
2023-11-28,37247.9921875,42371.75,36891.08984375,41980.09765625,41980.09765625,155213312062
2023-12-05,41986.265625,44705.515625,40234.578125,41243.83203125,41243.83203125,189280157106
2023-12-12,41238.734375,43429.78125,40530.2578125,42623.5390625,42623.5390625,153085451920
2023-12-19,42641.51171875,44367.95703125,41826.3359375,43613.140625,43613.140625,147975324853
2023-12-26,43599.84765625,44175.4375,41424.0625,44167.33203125,44167.33203125,155118309281
2024-01-02,44187.140625,47218.0,40813.53515625,46970.50390625,46970.50390625,226630987557
2024-01-09,46987.640625,48969.37109375,41705.41796875,42511.96875,42511.96875,239545848288
2024-01-16,42499.3359375,43566.2734375,39450.1171875,39507.3671875,39507.3671875,148154312420
2024-01-23,39518.71484375,43305.8671875,38521.89453125,43288.24609375,43288.24609375,144644371328
2024-01-30,43300.2265625,43838.9453125,41879.19140625,42658.66796875,42658.66796875,133231198172
2024-02-06,42657.390625,50280.4765625,42529.01953125,49958.22265625,49958.22265625,173622893936
2024-02-13,49941.359375,52820.06640625,48406.49609375,51779.14453125,51779.14453125,200410240012
2024-02-20,51777.7265625,54938.17578125,50561.77734375,54522.40234375,54522.40234375,173481373177
2024-02-27,54519.36328125,68537.03125,54484.19921875,68330.4140625,68330.4140625,359491725298
2024-03-05,68341.0546875,72850.7109375,59323.91015625,72123.90625,72123.90625,400755878957
2024-03-12,72125.125,73750.0703125,64545.31640625,67548.59375,67548.59375,389502673304
2024-03-19,67556.1328125,71162.59375,60807.78515625,69958.8125,69958.8125,321535681713
2024-03-26,69931.328125,71727.6875,68110.6953125,69702.1484375,69702.1484375,208498013665
2024-04-02,69705.0234375,72715.359375,64559.8984375,71631.359375,71631.359375,231815165421
2024-04-09,71632.5,71742.5078125,60919.10546875,63426.2109375,63426.2109375,294578160416
2024-04-16,63419.296875,67233.9609375,59651.390625,66837.6796875,66837.6796875,242576324884
2024-04-23,66839.890625,67199.2421875,61795.45703125,63841.12109375,63841.12109375,174384313574
